A,B,C,D,E,F,G,H,X,Y
46,276,292,1168,43,65,1303995,29243,0,46
44,264,170,680,77,16,2323248,17077,0,44
97,582,712,2848,69,56,2099268,71269,0,97
27,162,418,1672,85,50,2558250,41885,0,27
72,432,195,780,76,59,2301777,19576,0,72
75,450,97,388,95,50,2872650,9795,0,75
85,510,806,3224,20,87,625761,80620,0,85
65,390,809,3236,83,43,2509629,80983,0,65
17,102,865,3460,56,40,1685220,86556,0,17
24,144,929,3716,33,28,997284,92933,0,24
13,78,53,212,24,57,724071,5324,0,13
32,192,646,2584,60,33,1809699,64660,0,32
43,258,178,712,47,76,1423128,17847,0,43
55,330,467,1868,60,21,1816563,46760,0,55
8,48,595,2380,92,1,2762403,59592,0,8
75,450,679,2716,40,62,1222686,67940,0,75
3,18,970,3880,94,0,2820900,97094,0,3
19,114,589,2356,2,56,65868,58902,0,19
29,174,980,3920,70,98,2108994,98070,0,29
7,42,705,2820,69,5,2072115,70569,0,7
7,40,803,3212,14,74,422322,80314,0,7
38,228,33,132,8,44,251532,3308,0,38
26,156,219,876,58,48,1747944,21958,0,26
8,49,517,2068,89,87,2672661,51789,0,8
29,175,908,3632,51,9,1538727,90851,0,29
97,581,282,1128,35,92,1079376,28235,0,97
5,30,656,2624,77,80,2311740,65677,0,5
6,36,856,3424,8,32,241896,85608,0,6
56,336,62,248,63,59,1906977,6263,0,56
46,279,8,32,66,80,1994040,866,0,46
5,27,507,2028,51,2,1531506,50751,0,5
69,414,663,2652,52,48,1580844,66352,0,69
85,508,712,2847,99,83,2995749,71299,0,85
0,0,943,3772,89,51,2670153,94389,0,0
46,274,23,92,32,96,974088,2332,0,46
9,54,194,776,95,53,2852859,19495,0,9
26,159,693,2772,59,63,1777989,69359,0,26
60,360,538,2152,28,42,858126,53828,0,60
88,528,914,3656,7,13,236439,91407,0,88
55,333,975,3900,86,70,2596710,97586,0,55
3,20,619,2476,4,58,121074,61904,0,3
2,12,916,3664,2,84,60852,91602,0,2
97,583,364,1456,37,58,1139274,36437,0,97
15,90,482,1928,70,65,2104695,48270,0,15
63,378,703,2812,98,37,2959011,70398,0,63
36,216,394,1576,18,35,550905,39418,0,36
90,540,821,3284,41,92,1257276,82141,0,90
43,256,435,1740,71,69,2143107,43571,0,43
48,288,190,760,14,56,434568,19014,0,48
18,108,979,3916,95,31,2855493,97995,0,18
72,432,884,3536,15,87,471861,88415,0,72
29,172,145,580,22,26,668778,14522,0,29
73,438,71,284,42,46,1282038,7142,0,73
84,504,81,324,42,16,1285248,8142,0,84
78,468,12,48,90,22,2723466,1290,0,78
93,558,237,948,71,78,2158134,23771,0,93
63,375,976,3904,70,53,2119059,97670,0,63
58,348,364,1454,86,1,2597403,36486,0,58
36,213,1,4,92,7,2770821,192,0,36
65,392,217,868,9,76,289728,21709,0,65
77,462,621,2484,69,76,2093328,62169,0,77
68,408,188,752,36,59,1100577,18836,0,68
34,204,395,1580,67,1,2020203,39567,0,34
13,75,121,484,43,31,1293993,12143,0,13
36,218,359,1436,37,98,1121094,35937,0,36
22,132,134,536,12,47,366741,13412,0,22
21,126,962,3848,8,12,246336,96208,0,21
1,6,458,1832,83,55,2490465,45883,0,1
82,492,452,1808,23,92,714876,45223,0,82
32,195,523,2092,67,41,2019723,52367,0,32
81,486,978,3912,58,76,1764528,97858,0,81
47,282,426,1704,38,91,1154373,42638,0,47
63,378,275,1100,80,33,2418999,27580,0,63
23,138,781,3124,64,36,1927008,78164,0,23
67,402,640,2560,67,57,2030271,64067,0,67
91,546,641,2564,63,23,1917369,64163,0,91
34,207,539,2156,27,5,820215,53927,0,34
22,132,355,1420,81,57,2436771,35581,0,22
67,403,942,3768,73,22,2210166,94273,0,67
36,217,310,1240,12,19,370857,31012,0,36
38,231,851,3404,69,75,2081625,85169,0,38
72,431,711,2844,21,47,651741,71121,0,72
42,252,186,744,13,88,402864,18613,0,42
44,266,12,46,24,32,733296,1224,0,44
35,210,284,1136,16,87,490761,28416,0,35
31,186,205,820,36,15,1089345,20536,0,31
11,66,181,724,5,53,153459,18105,0,11
39,234,989,3956,32,22,971766,98932,0,39
7,39,318,1272,47,2,1412106,31847,0,7
12,72,734,2936,62,34,1863702,73462,0,12
83,498,323,1292,72,89,2185167,32372,0,83
92,552,543,2172,54,7,1647621,54354,0,92
51,306,80,320,11,96,345588,8011,0,51
10,60,813,3252,22,31,663093,81322,0,10
76,456,734,2938,21,68,653004,73421,0,76
98,588,926,3704,92,58,2789574,92692,0,98
58,346,540,2160,22,16,677448,54022,0,58
27,165,586,2344,35,89,1058367,58635,0,27
87,522,807,3228,28,96,866388,80728,0,87
23,139,514,2056,9,74,277122,51409,0,23
20,120,817,3268,12,18,366054,81712,0,20
29,171,356,1424,26,6,788718,35626,0,29
75,449,135,540,49,17,1492551,13549,0,75
62,372,795,3180,62,36,1878708,79562,0,62
24,147,114,456,68,58,2047374,11468,0,24
58,347,68,272,69,23,2087469,6869,0,58
17,104,529,2116,31,15,935145,52931,0,17
72,434,561,2244,44,35,1341705,56144,0,72
19,114,566,2264,31,15,935745,56631,0,19
17,99,607,2428,50,0,1505100,60750,0,17
62,373,556,2224,12,75,378825,55612,0,62
54,324,784,3136,93,48,2806344,78493,0,54
18,111,633,2532,76,62,2285586,63376,0,18
20,121,227,908,89,20,2676060,22789,0,20
33,198,24,96,63,54,1900062,2463,0,33
55,328,378,1512,87,18,2626554,37887,0,55
44,261,123,492,0,88,13464,12300,0,44
54,324,806,3222,57,61,1726383,80657,0,54
72,429,679,2717,72,33,2181699,67972,0,72
80,480,759,3036,10,23,324069,75910,0,80
90,537,439,1756,21,62,657186,43921,0,90
77,465,690,2760,39,46,1193238,69039,0,77
12,74,669,2676,20,29,603687,66920,0,12
65,390,659,2636,83,15,2509545,65983,0,65
95,570,806,3224,87,27,2638581,80687,0,95
55,332,85,340,39,79,1186737,8539,0,55
87,521,482,1928,96,90,2906370,48296,0,87
2,12,294,1176,65,87,1950861,29465,0,2
46,276,540,2158,70,74,2114022,54070,0,46
20,119,336,1344,0,60,6180,33600,0,20
24,143,551,2204,93,29,2797287,55193,0,24
21,124,666,2664,14,85,426555,66614,0,21
30,180,731,2924,60,25,1809075,73160,0,30
63,380,230,920,35,17,1068951,23035,0,63
24,145,151,604,70,11,2107233,15170,0,24
43,261,952,3808,17,47,523041,95217,0,43
22,135,399,1596,21,21,636663,39921,0,22
30,183,519,2076,68,50,2049150,51968,0,30
91,544,16,64,20,11,627333,1620,0,91
17,102,146,584,43,18,1295154,14643,0,17
5,31,33,132,18,16,541548,3318,0,5
44,266,989,3954,11,92,343476,98911,0,44
86,516,289,1156,67,8,2035824,28967,0,86
89,534,112,448,64,36,1946808,11264,0,89
44,267,199,796,1,80,43440,19901,0,44
83,498,934,3736,28,35,865005,93428,0,83
69,416,941,3764,17,56,530868,94117,0,69
95,569,173,692,73,4,2218512,17373,0,95
6,38,259,1036,71,58,2131974,25971,0,6
51,305,99,396,98,88,2955564,9998,0,51
18,108,480,1920,71,55,2135565,48071,0,18
42,249,609,2436,60,89,1812867,60960,0,42
95,569,826,3304,69,35,2098605,82669,0,95
90,537,495,1980,3,58,117174,49503,0,90
17,99,265,1060,11,83,335349,26511,0,17
54,323,317,1268,9,45,286335,31709,0,54
74,444,160,640,92,56,2782368,16092,0,74
14,84,787,3148,52,8,1564224,78752,0,14
77,460,161,644,34,59,1043277,16134,0,77
67,402,985,3940,11,16,350148,98511,0,67
8,50,402,1608,22,63,662589,40222,0,8
75,452,698,2792,57,9,1732527,69857,0,75
2,10,755,3020,99,74,2970822,75599,0,2
26,155,305,1220,82,52,2467956,30582,0,26
25,150,203,812,91,4,2737512,20391,0,25
86,517,920,3680,18,67,566001,92018,0,86
21,126,979,3915,16,70,486510,97916,0,21
24,144,849,3396,73,34,2197302,84973,0,24
72,431,843,3372,26,70,801810,84326,0,72
11,69,688,2752,26,53,783459,68826,0,11
37,222,563,2252,21,78,641334,56321,0,37
34,204,230,920,86,82,2590446,23086,0,34
64,384,252,1008,13,0,409200,25213,0,64
18,108,229,916,21,40,635520,22921,0,18
40,240,20,80,38,80,1152240,2038,0,40
50,300,95,380,80,35,2415105,9580,0,50
96,576,662,2648,13,27,418881,66213,0,96
24,146,281,1124,33,40,997320,28133,0,24
29,177,585,2340,19,18,578754,58519,0,29
47,284,91,364,96,34,2894202,9196,0,47
69,415,805,3220,98,45,2960835,80598,0,69
12,75,188,752,44,51,1323753,18844,0,12
48,285,50,200,91,50,2744550,5091,0,48
92,555,148,592,45,72,1377816,14845,0,92
50,300,185,740,60,81,1815243,18560,0,50
49,294,918,3672,40,53,1214859,91840,0,49
28,168,206,824,44,28,1328484,20644,0,28
12,71,660,2640,50,69,1503807,66050,0,12
62,369,174,696,6,16,198648,17406,0,62
48,290,56,224,85,69,2564607,5685,0,48
