A,B,C,D,E,F,G,H
33,99,732,2928,55,93,1660179,73255
87,261,869,3476,23,28,716184,86923
33,99,506,2024,38,60,1150080,50638
68,204,657,2628,62,21,1880463,65762
4,12,546,2184,86,30,2581290,54686
97,291,191,764,23,16,719148,19123
58,174,102,408,91,49,2747547,10291
27,81,675,2700,39,25,1178175,67539
84,252,468,1872,85,16,2575248,46885
87,261,76,304,90,84,2726352,7690
97,291,583,2332,39,34,1199202,58339
69,207,958,3832,8,62,260886,95808
42,126,819,3276,63,45,1902735,81963
34,102,687,2748,81,21,2440263,68781
62,186,182,728,2,94,78882,18202
90,270,257,1028,50,26,1527078,25750
78,234,133,532,76,94,2303682,13376
58,174,358,1432,9,75,287625,35809
91,273,511,2044,43,51,1317453,51143
65,195,64,256,53,37,1609611,6453
58,174,297,1188,67,34,2027502,29767
27,81,512,2048,59,53,1778259,51259
41,123,829,3316,30,1,912303,82930
35,105,978,3912,68,17,2050551,97868
76,228,136,544,47,44,1432932,13647
87,261,148,592,82,32,2486196,14882
93,279,609,2436,24,26,747978,60924
55,165,761,3044,8,22,256566,76108
19,57,466,1864,74,90,2225970,46674
5,15,835,3340,36,73,1081719,83536
9,27,381,1524,6,55,182865,38106
41,123,793,3172,56,3,1692309,79356
87,261,335,1340,23,99,716397,33523
2,6,800,3200,90,72,2700816,80090
82,246,740,2960,74,32,2244696,74074
45,135,597,2388,10,93,313779,59710
93,279,136,544,45,7,1377921,13645
35,105,510,2040,25,47,760641,51025
61,183,212,848,11,75,348525,21211
77,231,965,3860,17,27,533181,96517
78,234,85,340,31,50,953550,8531
13,39,346,1384,9,25,273975,34609
9,27,6,24,0,77,2931,600
25,75,475,1900,77,41,2317623,47577
8,24,848,3392,26,27,782481,84826
59,177,67,268,45,91,1367973,6745
82,246,797,3188,58,87,1764861,79758
51,153,815,3260,95,33,2865399,81595
35,105,697,2788,21,37,640611,69721
96,288,422,1688,24,71,749013,42224
40,120,807,3228,4,63,132189,80704
46,138,337,1348,4,43,133929,33704
35,105,4,16,64,73,1930719,464
82,246,646,2584,28,83,864849,64628
20,60,33,132,93,66,2796198,3393
85,255,31,124,46,21,1405563,3146
56,168,225,900,34,93,1037079,22534
30,90,139,556,40,50,1209150,13940
87,261,190,760,5,57,176271,19005
67,201,782,3128,99,31,2990193,78299
97,291,466,1864,67,2,2039106,46667
36,108,345,1380,2,66,70998,34502
69,207,576,2304,21,9,650727,57621
81,243,142,568,94,95,2844585,14294
23,69,963,3852,8,33,246999,96308
24,72,580,2320,3,70,97410,58003
53,159,864,3456,53,11,1605933,86453
53,159,640,2560,37,60,1126080,64037
42,126,21,84,39,19,1182657,2139
91,273,881,3524,62,58,1887474,88162
19,57,203,812,36,28,1085784,20336
34,102,946,3784,14,82,430446,94614
93,279,499,1996,23,5,717915,49923
22,66,952,3808,14,36,426708,95214
19,57,446,1784,2,22,65766,44602
20,60,318,1272,44,1,1326003,31844
97,291,258,1032,85,21,2579163,25885
54,162,896,3584,38,76,1156428,89638
72,216,412,1648,29,80,891840,41229
20,60,415,1660,33,40,996120,41533
4,12,250,1000,75,16,2251248,25075
50,150,115,460,72,84,2175252,11572
74,222,429,1716,10,43,322329,42910
94,282,30,120,70,4,2128212,3070
46,138,994,3976,21,80,644040,99421
19,57,972,3888,98,1,2945703,97298
42,126,361,1444,70,93,2112879,36170
8,24,843,3372,7,90,212670,84307
27,81,788,3152,6,37,188211,78806
36,108,925,3700,95,32,2860896,92595
73,219,694,2776,65,73,1972119,69465
19,57,798,3192,91,76,2735928,79891
90,270,956,3824,56,65,1707195,95656
71,213,732,2928,85,65,2571495,73285
91,273,671,2684,5,47,177441,67105
9,27,479,1916,70,94,2102982,47970
31,93,871,3484,30,55,909465,87130
93,279,112,448,13,12,417936,11213
35,105,62,248,46,50,1390650,6246
75,225,948,3792,53,69,1612707,94853
72,216,18,72,68,94,2061882,1868
36,108,448,1792,49,69,1481007,44849
61,183,547,2188,86,95,2598585,54786
84,252,267,1068,21,79,655437,26721
24,72,41,164,86,79,2587437,4186
9,27,196,784,19,42,572826,19619
92,276,997,3988,42,40,1287720,99742
58,174,696,2784,61,22,1847466,69661
91,273,73,292,91,13,2757339,7391
4,12,400,1600,57,3,1711209,40057
43,129,849,3396,82,69,2473107,84982
48,144,737,2948,74,66,2234598,73774
47,141,928,3712,68,30,2054190,92868
80,240,645,2580,54,82,1644246,64554
54,162,497,1988,95,90,2866470,49795
73,219,207,828,51,72,1552116,20751
1,3,844,3376,54,29,1620387,84454
83,249,905,3620,12,51,385053,90512
13,39,567,2268,2,90,64170,56702
87,261,702,2808,64,20,1946160,70264
38,114,185,740,57,22,1721466,18557
47,141,889,3556,74,97,2234391,88974
98,294,234,936,0,71,29613,23400
61,183,304,1216,92,54,2778462,30492
99,297,32,128,10,62,329886,3210
65,195,342,1368,84,33,2539599,34284
19,57,849,3396,6,1,185703,84906
88,264,742,2968,53,45,1616535,74253
40,120,684,2736,52,40,1572120,68452
15,45,837,3348,53,11,1594533,83753
55,165,86,344,16,56,496668,8616
40,120,416,1664,76,36,2292108,41676
64,192,622,2488,15,28,469284,62215
83,249,594,2376,32,76,985128,59432
66,198,204,816,21,40,649920,20421
46,138,391,1564,79,53,2383959,39179
10,30,332,1328,53,74,1593222,33253
8,24,7,28,33,92,992676,733
11,33,164,656,64,88,1923564,16464
10,30,552,2208,66,11,1983033,55266
68,204,534,2136,41,81,1250643,53441
29,87,577,2308,40,39,1208817,57740
63,189,653,2612,90,87,2719161,65390
41,123,347,1388,29,79,882537,34729
15,45,770,3080,42,29,1264587,77042
48,144,612,2448,24,89,734667,61224
66,198,467,1868,59,85,1790055,46759
68,204,132,528,6,58,200574,13206
98,294,505,2020,86,97,2609691,50586
82,246,639,2556,76,49,2304747,63976
44,132,122,488,11,69,343407,12211
55,165,553,2212,75,57,2266671,55375
58,174,609,2436,69,45,2087535,60969
78,234,577,2308,0,89,23667,57700
76,228,171,684,28,2,862806,17128
44,132,228,912,14,56,433368,22814
32,96,772,3088,55,0,1659600,77255
31,93,597,2388,2,80,69540,59702
73,219,853,3412,75,72,2272116,85375
50,150,827,3308,41,75,1245225,82741
22,66,322,1288,47,38,1416714,32247
28,84,283,1132,72,4,2168412,28372
45,135,168,672,2,21,73563,16802
78,234,981,3924,77,75,2333625,98177
66,198,82,328,17,4,529812,8217
37,111,321,1284,80,51,2411253,32180
90,270,695,2780,5,56,177168,69505
63,189,439,1756,88,89,2659167,43988
91,273,135,540,99,7,2997321,13599
3,9,545,2180,93,24,2790972,54593
79,237,92,368,5,8,173724,9205
47,141,567,2268,95,13,2864139,56795
92,276,561,2244,11,98,357894,56111
54,162,44,176,62,30,1876290,4462
69,207,929,3716,64,1,1940703,92964
80,240,631,2524,24,69,744207,63124
70,210,881,3524,54,99,1641297,88154
2,6,543,2172,8,89,240867,54308
66,198,275,1100,25,99,770097,27525
35,105,342,1368,73,42,2200626,34273
25,75,986,3944,40,84,1207752,98640
78,234,140,560,59,51,1793553,14059
83,249,290,1160,4,79,145137,29004
11,33,387,1548,71,59,2133477,38771
44,132,84,336,11,78,343434,8411
95,285,227,908,47,8,1438524,22747
5,15,199,796,35,2,1051506,19935
29,87,235,940,98,7,2948721,23598
55,165,243,972,41,86,1246758,24341
66,198,2,8,7,17,229851,207
84,252,381,1524,74,96,2245488,38174
92,276,676,2704,13,29,417687,67613
11,33,304,1216,82,47,2463441,30482
4,12,210,840,96,86,2881458,21096
32,96,876,3504,87,93,2619879,87687
83,249,10,40,60,32,1824996,1060
20,60,94,376,84,40,2526120,9484
43,129,867,3468,10,70,313110,86710
43,129,794,3176,87,46,2623038,79487
25,75,345,1380,51,91,1537773,34551
24,72,736,2944,19,42,577326,73619
32,96,130,520,86,0,2589600,13086
44,132,795,3180,52,34,1573302,79552
19,57,156,624,95,3,2855709,15695
21,63,825,3300,28,0,846300,82528
20,60,889,3556,87,91,2616273,88987
52,156,339,1356,44,15,1335645,33944
25,75,860,3440,49,33,1477599,86049
53,159,660,2640,28,45,856035,66028
15,45,127,508,82,54,2464662,12782
42,126,425,1700,60,52,1812756,42560
89,267,108,432,43,38,1316814,10843
54,162,670,2680,66,86,1996458,67066
53,159,993,3972,89,57,2686071,99389
54,162,359,1436,25,71,766413,35925
52,156,620,2480,15,70,465810,62015
49,147,233,932,46,37,1394811,23346
2,6,473,1892,63,78,1890834,47363
63,189,423,1692,3,96,109188,42303
64,192,260,1040,93,35,2809305,26093
82,246,187,748,99,49,2994747,18799
37,111,836,3344,4,64,131292,83604
99,297,992,3968,76,43,2309829,99276
2,6,123,492,75,99,2250897,12375
48,144,214,856,11,72,344616,21411
33,99,538,2152,76,40,2290020,53876
25,75,954,3816,99,37,2977611,95499
19,57,679,2716,60,51,1805853,67960
48,144,33,132,4,78,134634,3304
49,147,321,1284,37,85,1124955,32137
25,75,535,2140,74,42,2227626,53574
3,9,471,1884,31,6,930918,47131
1,3,327,1308,68,83,2040549,32768
85,255,242,968,96,74,2905722,24296
56,168,467,1868,87,14,2626842,46787
28,84,7,28,65,54,1958562,765
24,72,679,2716,72,14,2167242,67972
95,285,815,3260,35,46,1078638,81535
31,93,500,2000,30,38,909414,50030
37,111,195,780,68,90,2051370,19568
54,162,412,1648,3,11,106233,41203
37,111,516,2064,97,48,2921244,51697
94,282,902,3608,29,88,898464,90229
29,87,439,1756,41,23,1238769,43941
78,234,462,1848,90,26,2723478,46290
73,219,22,88,36,3,1101909,2236
40,120,409,1636,69,66,2082198,40969
57,171,789,3156,26,79,797337,78926
80,240,745,2980,24,54,744162,74524
86,258,177,708,43,15,1315845,17743
12,36,356,1424,40,27,1203681,35640
9,27,207,828,51,59,1532877,20751
28,84,564,2256,86,53,2588559,56486
47,141,925,3700,85,17,2564151,92585
36,108,430,1720,85,59,2560977,43085
79,237,887,3548,44,56,1343868,88744
39,117,5,20,30,1,911703,530
19,57,882,3528,62,44,1865832,88262
45,135,323,1292,64,72,1933716,32364
58,174,829,3316,87,77,2627631,82987
11,33,796,3184,46,91,1383573,79646
19,57,83,332,34,89,1025967,8334
20,60,508,2032,34,21,1026063,50834
33,99,760,3040,15,35,460005,76015
22,66,861,3444,90,81,2706843,86190
92,276,592,2368,58,24,1767672,59258
39,117,938,3752,85,50,2561850,93885
92,276,776,3104,36,5,1107615,77636
8,24,922,3688,28,34,842502,92228
8,24,72,288,42,27,1262481,7242
99,297,357,1428,81,81,2459943,35781
12,36,147,588,10,69,303807,14710
18,54,737,2948,30,24,905472,73730
59,177,22,88,77,59,2327877,2277
39,117,24,96,44,4,1331712,2444
99,297,77,308,96,8,2909724,7796
25,75,945,3780,47,26,1417578,94547
61,183,666,2664,99,69,2988507,66699
99,297,8,32,22,87,689961,822
18,54,13,52,7,61,215583,1307
11,33,139,556,84,32,2523396,13984
51,153,363,1452,61,92,1845576,36361
45,135,917,3668,41,23,1243569,91741
43,129,253,1012,82,4,2472912,25382
99,297,551,2204,35,18,1079754,55135
6,18,403,1612,2,76,62028,40302
